batch size,number selected fields,total fetch time,total results count
500,3,56.68785214424133,63835
1000,3,58.94646096229553,63835
1500,3,57.08000111579895,63835
2000,3,54.47619581222534,63835
2500,3,58.46559190750122,63835
3000,3,62.43794298171997,63835
3500,3,54.544366121292114,63835
4000,3,62.02741098403931,63835
4500,3,59.72871398925781,63835
5000,3,57.11574864387512,63835
5500,3,63.16284513473511,63835
6000,3,63.51811099052429,63835
6500,3,62.16408395767212,63835
7000,3,57.77654790878296,63835
7500,3,61.46093416213989,63835
8000,3,59.174840688705444,63835
8500,3,54.52638101577759,63835
9000,3,62.3871328830719,63835
9500,3,59.7079701423645,63835
10000,3,58.93949317932129,63835
10500,3,57.06878471374512,63835
